"start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","service_id"
"20241021","20241104","1","1","1","1","1","0","0","295-296-297-298-299-302-303-304-305-309"
"20241021","20241104","1","1","1","1","1","1","1","295-296-297-298-299-300-301-302-303-304-305-306-307-308-309"
"20241021","20241104","1","1","1","1","1","1","0","295-296-297-298-299-300-302-303-304-305-307-309"
"20241021","20241104","1","1","1","1","1","0","1","295-296-297-298-299-301-302-303-304-305-306-308-309"
"20241026","20241103","0","0","0","0","1","1","1","300-301-306-307-308"
"20241026","20241102","0","0","0","0","0","1","0","300-307"
"20241026","20241026","0","0","0","0","0","1","0","300"
"20241102","20241102","0","0","0","0","0","1","0","307"
"20241027","20241103","0","0","0","0","1","0","1","301-306-308"
"20241027","20241027","0","0","0","0","0","0","1","301"
"20241101","20241103","0","0","0","0","1","0","1","306-308"
"20241021","20241104","1","1","1","1","1","0","0","295-296-297-298-299-309"
"20241021","20241104","1","1","1","1","1","1","0","295-296-297-298-299-300-309"
"20241021","20241104","1","1","1","1","1","1","1","295-296-297-298-299-300-301-309"
"20241021","20241104","1","1","1","1","1","0","1","295-296-297-298-299-301-309"
"20241028","20241031","1","1","1","1","0","0","0","302-303-304-305"
"20241028","20241102","1","1","1","1","0","1","0","302-303-304-305-307"
"20241028","20241103","1","1","1","1","1","1","1","302-303-304-305-306-307-308"
"20241028","20241030","1","1","1","0","0","0","0","302-303-304"
"20241028","20241103","1","1","1","1","1","0","1","302-303-304-305-306-308"
"20241031","20241103","0","0","0","1","1","1","1","305-306-307-308"
"20241021","20241104","1","1","1","1","1","0","1","295-296-297-298-299-301-302-303-304-305-308-309"
"20241021","20241104","1","1","1","1","1","0","1","295-296-297-298-301-302-303-304-306-308-309"
"20241021","20241104","1","1","1","1","0","0","1","295-296-297-298-301-302-303-304-308-309"
"20241025","20241102","0","0","0","1","1","1","0","299-300-305-306-307"
"20241026","20241102","0","0","0","0","1","1","0","300-306-307"
"20241026","20241027","0","0","0","0","0","1","1","300-301"
"20241101","20241103","0","0","0","0","1","1","1","306-307-308"
"20241021","20241104","1","1","1","1","0","0","0","295-296-297-298-309"
"20241021","20241104","1","1","1","1","0","0","1","295-296-297-298-301-309"
"20241021","20241104","1","1","1","1","1","1","1","295-296-297-298-299-300-301-307-309"
"20241025","20241026","0","0","0","0","1","1","0","299-300"
"20241027","20241103","1","1","1","1","1","1","1","301-302-303-304-305-306-307-308"
"20241028","20241102","1","1","1","1","1","1","0","302-303-304-305-306-307"
"20241028","20241103","1","1","1","0","0","0","1","302-303-304-308"
"20241027","20241103","1","1","1","0","0","0","1","301-302-303-304-308"
"20241028","20241101","1","1","1","1","1","0","0","302-303-304-305-306"
"20241028","20241103","1","1","1","0","1","1","1","302-303-304-306-307-308"
"20241031","20241031","0","0","0","1","0","0","0","305"
"20241031","20241102","0","0","0","1","1","1","0","305-306-307"
"20241031","20241102","0","0","0","1","0","1","0","305-307"
"20241102","20241103","0","0","0","0","0","1","1","307-308"
"20241027","20241103","0","0","0","0","1","1","1","301-306-307-308"
"20241101","20241102","0","0","0","0","1","1","0","306-307"
"20241027","20241103","0","0","0","0","0","0","1","301-308"
"20241101","20241101","0","0","0","0","1","0","0","306"
"20241103","20241103","0","0","0","0","0","0","1","308"
"20241021","20241104","1","1","1","1","0","1","0","295-296-297-298-302-303-304-305-307-309"
"20241021","20241104","1","1","1","1","1","1","1","295-296-297-298-301-302-303-304-305-306-307-308-309"
"20241021","20241104","1","1","1","1","0","0","0","295-296-297-298-302-303-304-305-309"
"20241021","20241104","1","1","1","1","0","1","0","295-296-297-298-300-302-303-304-305-307-309"
"20241025","20241025","0","0","0","0","1","0","0","299"
"20241021","20241104","1","1","1","1","1","1","0","295-296-297-298-299-307-309"
"20241021","20241104","1","1","1","1","1","1","0","295-296-297-298-299-300-302-303-304-309"
"20241021","20241104","1","1","1","1","1","1","0","295-296-297-298-299-300-302-303-304-305-309"
"20241031","20241103","0","0","0","1","1","0","1","305-306-308"
"20241021","20241031","1","1","1","1","1","0","0","295-296-297-298-299-302-303-304-305"
"20241021","20241102","1","1","1","1","1","1","0","295-296-297-298-299-300-302-303-304-305-307"
"20241021","20241103","1","1","1","1","1","1","1","295-296-297-298-299-300-301-302-303-304-305-306-307-308"
"20241104","20241104","1","0","0","0","0","0","0","309"
"20241021","20241025","1","1","1","1","1","0","0","295-296-297-298-299"
"20241021","20241027","1","1","1","1","1","1","1","295-296-297-298-299-300-301"
"20241021","20241102","1","1","1","1","1","1","1","295-296-297-298-299-300-301-307"
"20241021","20241030","1","1","1","1","1","1","1","295-296-297-298-299-300-301-302-303-304"
"20241028","20241104","1","1","1","1","0","0","0","302-303-304-305-309"
"20241028","20241104","1","1","1","1","1","1","1","302-303-304-305-306-307-308-309"
"20241028","20241104","1","1","1","1","1","0","1","302-303-304-305-306-308-309"
"20241031","20241104","1","0","0","1","1","1","1","305-306-307-308-309"
"20241101","20241104","1","0","0","0","1","1","1","306-307-308-309"
"20241103","20241104","1","0","0","0","0","0","1","308-309"
"20241026","20241103","0","0","0","0","1","1","1","300-301-306-308"
"20241027","20241101","0","0","0","0","1","0","1","301-306"
"20241021","20241027","1","1","1","1","1","0","1","295-296-297-298-299-301"
"20241026","20241103","1","1","1","1","1","1","1","300-301-302-303-304-305-306-307-308"
"20241021","20241104","1","1","1","1","0","0","0","295-296-297-298-302-303-304-309"
"20241021","20241104","1","1","1","1","1","1","0","295-296-297-298-299-300-302-303-304-305-306-307-309"
"20241021","20241104","1","1","1","1","0","1","1","295-296-297-298-300-301-302-303-304-307-308-309"
"20241025","20241031","0","0","0","1","1","0","0","299-305"
"20241021","20241026","1","1","1","1","1","1","0","295-296-297-298-299-300"
"20241021","20241027","1","1","1","1","0","0","1","295-296-297-298-301"
"20241021","20241104","1","1","1","1","1","1","1","295-296-297-298-299-300-301-302-303-304-305-307-308-309"
"20241025","20241102","0","0","0","1","1","1","0","299-300-305-307"
"20241025","20241027","0","0","0","0","1","1","1","299-300-301"
"20241028","20241104","1","1","1","1","0","1","0","302-303-304-305-307-309"
"20241028","20241104","1","1","1","0","1","0","1","302-303-304-306-308-309"
"20241021","20241104","1","1","1","1","1","1","0","295-296-297-298-299-302-303-304-305-307-309"
"20241021","20241104","1","1","1","1","1","1","0","295-296-297-298-299-300-307-309"
"20241021","20241104","1","1","1","1","1","0","1","295-296-297-298-299-301-306-308-309"
