"stop_id","stop_name","stop_lat","stop_lon","location_type","platform_code"
"11601","Bad Dürkheim Bahnhof","49.4615111","8.1704019","0","1"
"13401","Bad Dürkheim Ost","49.4634369","8.1850539","0","1"
"13402","Bad Dürkheim Ost","49.463315","8.184245","0","2"
"51501","Dossenheim Bahnhof","49.4481911","8.6701711","0","1"
"51502","Dossenheim Bahnhof","49.4485531","8.6695331","0","2"
"51601","Dossenheim Süd","49.4455631","8.6752911","0","1"
"51602","Dossenheim Süd","49.4460531","8.674995","0","2"
"61611","Edingen Ost","49.4446689","8.6175481","0","B"
"61612","Edingen Ost","49.4443939","8.6179881","0","A"
"61711","Thomas-Mann-Straße","49.46631","8.6004969","0","A"
"61712","Thomas-Mann-Straße","49.4662861","8.6004169","0","B"
"61901","Edingen Bahnhof","49.4415439","8.614475","0","2"
"61902","Edingen Bahnhof","49.4411469","8.6153739","0","1"
"61903","Edingen Bahnhof","49.4415731","8.6145111","0","3"
"61911","Edingen Bahnhof","49.4418539","8.6152931","0","A"
"62011","Pfälzer Hof","49.4506031","8.6094089","0","B"
"62012","Pfälzer Hof","49.4508361","8.6090581","0","A"
"62111","Edingen Rathaus","49.4475661","8.613065","0","B"
"62112","Edingen Rathaus","49.4472269","8.6135231","0","A"
"62211","Schillerstraße","49.4429231","8.6197839","0","A"
"62301","Edingen West","49.4474019","8.6035431","0","2"
"62302","Edingen West","49.4464389","8.6050611","0","1"
"62411","Neckarhausen Brücke","49.4685689","8.59871","0","A"
"62412","Neckarhausen Brücke","49.4691181","8.5975869","0","B"
"62511","Neckarhausen Ost","49.4602139","8.6057711","0","A"
"62512","Neckarhausen Ost","49.4588831","8.6064531","0","B"
"62611","Neckarhausen Schloss","49.4641789","8.6025189","0","A"
"62612","Neckarhausen Schloss","49.4646169","8.6020339","0","B"
"62711","Neckarhausen West","49.4694269","8.5895469","0","A"
"62712","Neckarhausen West","49.469375","8.589745","0","B"
"62811","Ahornstraße","49.44516","8.5809139","0","A"
"62901","Neu-Edingen Gewerbegebiet","49.45427","8.5913711","0","2"
"62902","Neu-Edingen Gewerbegebiet","49.4543169","8.591155","0","1"
"62911","Neu-Edingen Gewerbegebiet","49.4542639","8.5927089","0","B"
"62912","Neu-Edingen Gewerbegebiet","49.4543581","8.5926369","0","A"
"62913","Neu-Edingen Gewerbegebiet","49.4536569","8.5913439","0","C"
"62914","Neu-Edingen Gewerbegebiet","49.4536511","8.5911011","0","D"
"63011","Breslauer Straße","49.4494761","8.5854061","0","A"
"63012","Breslauer Straße","49.4495919","8.5854961","0","B"
"63111","Lilienstraße","49.4458719","8.582235","0","A"
"63112","Lilienstraße","49.445995","8.5823519","0","B"
"65601","Ellerstadt Ost","49.46405","8.264285","0","1"
"65602","Ellerstadt Ost","49.46415","8.2646081","0","2"
"65801","Ellerstadt West","49.4625789","8.25488","0","1"
"65802","Ellerstadt West","49.4626139","8.2551761","0","2"
"69501","Jakobsgasse","49.4010019","8.63307","0","B"
"69522","Jakobsgasse","49.4010431","8.6328369","0","A"
"69601","Kirchheimer Straße","49.3992369","8.6265131","0","A"
"69701","Eppelheim Rathaus","49.40161","8.6291","0","B"
"69702","Eppelheim Rathaus","49.4016281","8.6288661","0","A"
"77111","FT Hauptbahnhof","49.5363811","8.3502719","0","6"
"77811","FT Feierabendhaus","49.5373719","8.3587969","0","A"
"77812","FT Feierabendhaus","49.53792","8.3590931","0","B"
"78211","FT Hallenbad","49.5349989","8.36283","0","A"
"78212","FT Hallenbad","49.5351981","8.3617069","0","B"
"78811","FT Kugelfang","49.5363231","8.3767631","0","A"
"78812","FT Kugelfang","49.5363519","8.3755861","0","B"
"80612","FT Wormser Tor","49.5381419","8.3532089","0","A"
"82011","Studernheim Süd","49.4989111","8.36504","0","A"
"82311","FT Schmiedgasse","49.5369169","8.3550331","0","A"
"82411","FT Altenheim","49.53595","8.3600269","0","A"
"82412","FT Altenheim","49.5359031","8.3601531","0","B"
"82911","Lutherstraße","49.4171811","8.6911819","0","A"
"82912","Lutherstraße","49.4172861","8.6908681","0","B"
"85601","Friedelsheim","49.4578319","8.2253611","0","1"
"85602","Friedelsheim","49.458095","8.224795","0","2"
"91001","Fußgönheim","49.4664969","8.2877039","0","1"
"91002","Fußgönheim","49.46621","8.2873361","0","2"
"94001","Gönnheim","49.4582119","8.2328889","0","1"
"94002","Gönnheim","49.4578731","8.2312361","0","2"
"102311","Forstquelle","49.38073","8.70622","0","B"
"102312","Forstquelle","49.38135","8.7063189","0","A"
"103311","Ziegelhausen Altes Rathaus","49.4179289","8.7590231","0","A"
"106712","St.-Martin-Straße","49.44572","8.6156881","0","A"
"108111","Redtenbacherstraße","49.362995","8.6814989","0","A"
"108612","Bärenbach Nord","49.4146039","8.7743569","0","A"
"109111","Bärenbach Süd","49.4135111","8.7755069","0","A"
"109411","HITS","49.4150419","8.7366281","0","A"
"110211","Villa Schmeil","49.4158889","8.7321731","0","A"
"110411","Hirtenaue","49.4263319","8.7597781","0","A"
"110611","Schleifengrundweg","49.423895","8.7578461","0","B"
"110711","Hirtenbrunnenweg","49.4226331","8.7563369","0","B"
"110712","Hirtenbrunnenweg","49.4226269","8.7564","0","A"
"110811","Am Bächenbuckel","49.4228961","8.760245","0","B"
"110812","Am Bächenbuckel","49.4231589","8.7607481","0","A"
"110911","Moselbrunnenweg","49.4221831","8.7604961","0","B"
"110912","Moselbrunnenweg","49.4225511","8.7606939","0","A"
"111612","Klingenweg","49.422715","8.7641619","0","A"
"111712","Karl-Christ-Straße","49.42116","8.7608919","0","A"
"111912","Neckarmünzplatz","49.4137619","8.7131731","0","A"
"112011","Am Götzenberg","49.3720211","8.7013689","0","B"
"112012","Am Götzenberg","49.3720861","8.7015761","0","A"
"112111","Boxbergring","49.3782739","8.7042981","0","A"
"112113","Boxbergring","49.3781861","8.7042619","0","B"
"112211","Buchwaldweg","49.3704011","8.7052589","0","A"
"112311","Fernheizwerk","49.3761331","8.7068219","0","A"
"112411","Haselnussweg","49.3745419","8.7026539","0","C"
"112412","Haselnussweg","49.37401","8.7030761","0","B"
"112414","Haselnussweg","49.37408","8.7031211","0","A"
"112511","Im Eichwald","49.37239","8.70622","0","A"
"112611","Louise-Ebert-Zentrum","49.3730039","8.7037319","0","A"
"112612","Louise-Ebert-Zentrum","49.3728281","8.7036511","0","B"
