route_id,trip_id,service_id,trip_short_name,start_time,end_time
22-2-22,22-2-1022-18780,295-296-297-298-299-302-303-304-305,22,05:13:00,05:32:00
22-1-22,22-1-1-20520,295-296-297-298-299-300-302-303-304-305-307,22,05:42:00,06:01:00
22-2-22,22-2-1022-25980,295-296-297-298-299-302-303-304-305,22,07:13:00,07:32:00
22-1-22,22-1-1-27720,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,07:42:00,08:01:00
22-2-22,22-2-1022-33180,295-296-297-298-299-300-302-303-304-305-307,22,09:13:00,09:32:00
22-1-22,22-1-1-34920,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,09:42:00,10:01:00
22-2-22,22-2-1022-40380,295-296-297-298-299-300-302-303-304-305-307,22,11:13:00,11:32:00
22-1-22,22-1-1-42120,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,11:42:00,12:01:00
22-2-22,22-2-1022-47580,295-296-297-298-299-300-302-303-304-305-307,22,13:13:00,13:32:00
22-1-22,22-1-1-49320,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,13:42:00,14:01:00
22-2-22,22-2-1022-54780,295-296-297-298-299-300-302-303-304-305-307,22,15:13:00,15:32:00
22-1-22,22-1-1-56520,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,15:42:00,16:01:00
22-2-22,22-2-1022-61980,295-296-297-298-299-300-302-303-304-305-307,22,17:13:00,17:32:00
22-1-22,22-1-1-63720,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,17:42:00,18:01:00
22-2-22,22-2-1022-69180,295-296-297-298-299-300-302-303-304-305-307,22,19:13:00,19:32:00
22-1-22,22-1-1-70920,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,19:42:00,20:01:00
22-2-22,22-2-2022-76380,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,21:13:00,21:30:00
22-1-22,22-1-1-78120,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,21:42:00,22:01:00
22-2-22,22-2-2022-84180,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,23:23:00,23:40:00
22-121-22,22-121-4-85920,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,23:52:00,24:08:00
22-2-22,22-2-1022-19980,295-296-297-298-299-302-303-304-305,22,05:33:00,05:52:00
