trip_id,arrival_time,departure_time,stop_sequence,stop_id
22-2-1022-18780,05:13:00,05:13:15,1,114602
22-2-1022-18780,05:14:00,05:14:15,2,116822
22-2-1022-18780,05:15:00,05:16:15,3,119322
22-2-1022-18780,05:17:00,05:17:15,4,679102
22-2-1022-18780,05:18:00,05:18:15,5,679422
22-2-1022-18780,05:20:00,05:20:15,6,427201
22-2-1022-18780,05:21:00,05:21:15,7,427403
22-2-1022-18780,05:23:00,05:23:15,8,427502
22-2-1022-18780,05:24:00,05:24:15,9,125202
22-2-1022-18780,05:25:00,05:25:15,10,125602
22-2-1022-18780,05:27:00,05:27:15,11,126102
22-2-1022-18780,05:29:00,05:29:15,12,69522
22-2-1022-18780,05:30:00,05:30:15,13,69702
22-2-1022-18780,05:32:00,05:32:15,14,69601
22-1-1-20520,05:42:00,05:42:15,1,69601
22-1-1-20520,05:44:00,05:44:15,2,69701
22-1-1-20520,05:45:00,05:45:15,3,69501
22-1-1-20520,05:47:00,05:48:15,4,126101
22-1-1-20520,05:49:00,05:49:15,5,125601
22-1-1-20520,05:50:00,05:50:15,6,125201
22-1-1-20520,05:51:00,05:51:15,7,427501
22-1-1-20520,05:52:00,05:52:15,8,427404
22-1-1-20520,05:53:00,05:53:15,9,427202
22-1-1-20520,05:55:00,05:55:15,10,679421
22-1-1-20520,05:56:00,05:56:15,11,679101
22-1-1-20520,05:58:00,05:58:15,12,119321
22-1-1-20520,06:00:00,06:00:15,13,116821
22-1-1-20520,06:01:00,06:01:15,14,114601
22-2-1022-25980,07:13:00,07:13:15,1,114602
22-2-1022-25980,07:14:00,07:14:15,2,116822
22-2-1022-25980,07:15:00,07:16:15,3,119322
22-2-1022-25980,07:17:00,07:17:15,4,679102
22-2-1022-25980,07:18:00,07:18:15,5,679422
22-2-1022-25980,07:20:00,07:20:15,6,427201
22-2-1022-25980,07:21:00,07:21:15,7,427403
22-2-1022-25980,07:23:00,07:23:15,8,427502
22-2-1022-25980,07:24:00,07:24:15,9,125202
22-2-1022-25980,07:25:00,07:25:15,10,125602
22-2-1022-25980,07:27:00,07:27:15,11,126102
22-2-1022-25980,07:29:00,07:29:15,12,69522
22-2-1022-25980,07:30:00,07:30:15,13,69702
22-2-1022-25980,07:32:00,07:32:15,14,69601
22-1-1-27720,07:42:00,07:42:15,1,69601
22-1-1-27720,07:44:00,07:44:15,2,69701
22-1-1-27720,07:45:00,07:45:15,3,69501
22-1-1-27720,07:47:00,07:48:15,4,126101
22-1-1-27720,07:49:00,07:49:15,5,125601
22-1-1-27720,07:50:00,07:50:15,6,125201
22-1-1-27720,07:51:00,07:51:15,7,427501
22-1-1-27720,07:52:00,07:52:15,8,427404
22-1-1-27720,07:53:00,07:53:15,9,427202
22-1-1-27720,07:55:00,07:55:15,10,679421
22-1-1-27720,07:56:00,07:56:15,11,679101
22-1-1-27720,07:58:00,07:58:15,12,119321
22-1-1-27720,08:00:00,08:00:15,13,116821
22-1-1-27720,08:01:00,08:01:15,14,114601
22-2-1022-33180,09:13:00,09:13:15,1,114602
22-2-1022-33180,09:14:00,09:14:15,2,116822
22-2-1022-33180,09:15:00,09:16:15,3,119322
22-2-1022-33180,09:17:00,09:17:15,4,679102
22-2-1022-33180,09:18:00,09:18:15,5,679422
22-2-1022-33180,09:20:00,09:20:15,6,427201
22-2-1022-33180,09:21:00,09:21:15,7,427403
22-2-1022-33180,09:23:00,09:23:15,8,427502
22-2-1022-33180,09:24:00,09:24:15,9,125202
22-2-1022-33180,09:25:00,09:25:15,10,125602
22-2-1022-33180,09:27:00,09:27:15,11,126102
22-2-1022-33180,09:29:00,09:29:15,12,69522
22-2-1022-33180,09:30:00,09:30:15,13,69702
22-2-1022-33180,09:32:00,09:32:15,14,69601
22-1-1-34920,09:42:00,09:42:15,1,69601
22-1-1-34920,09:44:00,09:44:15,2,69701
22-1-1-34920,09:45:00,09:45:15,3,69501
22-1-1-34920,09:47:00,09:48:15,4,126101
22-1-1-34920,09:49:00,09:49:15,5,125601
22-1-1-34920,09:50:00,09:50:15,6,125201
22-1-1-34920,09:51:00,09:51:15,7,427501
22-1-1-34920,09:52:00,09:52:15,8,427404
22-1-1-34920,09:53:00,09:53:15,9,427202
22-1-1-34920,09:55:00,09:55:15,10,679421
22-1-1-34920,09:56:00,09:56:15,11,679101
22-1-1-34920,09:58:00,09:58:15,12,119321
22-1-1-34920,10:00:00,10:00:15,13,116821
22-1-1-34920,10:01:00,10:01:15,14,114601
22-2-1022-40380,11:13:00,11:13:15,1,114602
22-2-1022-40380,11:14:00,11:14:15,2,116822
22-2-1022-40380,11:15:00,11:16:15,3,119322
22-2-1022-40380,11:17:00,11:17:15,4,679102
22-2-1022-40380,11:18:00,11:18:15,5,679422
22-2-1022-40380,11:20:00,11:20:15,6,427201
22-2-1022-40380,11:21:00,11:21:15,7,427403
22-2-1022-40380,11:23:00,11:23:15,8,427502
22-2-1022-40380,11:24:00,11:24:15,9,125202
22-2-1022-40380,11:25:00,11:25:15,10,125602
22-2-1022-40380,11:27:00,11:27:15,11,126102
22-2-1022-40380,11:29:00,11:29:15,12,69522
22-2-1022-40380,11:30:00,11:30:15,13,69702
22-2-1022-40380,11:32:00,11:32:15,14,69601
22-1-1-42120,11:42:00,11:42:15,1,69601
22-1-1-42120,11:44:00,11:44:15,2,69701
22-1-1-42120,11:45:00,11:45:15,3,69501
22-1-1-42120,11:47:00,11:48:15,4,126101
22-1-1-42120,11:49:00,11:49:15,5,125601
22-1-1-42120,11:50:00,11:50:15,6,125201
22-1-1-42120,11:51:00,11:51:15,7,427501
22-1-1-42120,11:52:00,11:52:15,8,427404
22-1-1-42120,11:53:00,11:53:15,9,427202
22-1-1-42120,11:55:00,11:55:15,10,679421
22-1-1-42120,11:56:00,11:56:15,11,679101
22-1-1-42120,11:58:00,11:58:15,12,119321
22-1-1-42120,12:00:00,12:00:15,13,116821
22-1-1-42120,12:01:00,12:01:15,14,114601
22-2-1022-47580,13:13:00,13:13:15,1,114602
22-2-1022-47580,13:14:00,13:14:15,2,116822
22-2-1022-47580,13:15:00,13:16:15,3,119322
22-2-1022-47580,13:17:00,13:17:15,4,679102
22-2-1022-47580,13:18:00,13:18:15,5,679422
22-2-1022-47580,13:20:00,13:20:15,6,427201
22-2-1022-47580,13:21:00,13:21:15,7,427403
22-2-1022-47580,13:23:00,13:23:15,8,427502
22-2-1022-47580,13:24:00,13:24:15,9,125202
22-2-1022-47580,13:25:00,13:25:15,10,125602
22-2-1022-47580,13:27:00,13:27:15,11,126102
22-2-1022-47580,13:29:00,13:29:15,12,69522
22-2-1022-47580,13:30:00,13:30:15,13,69702
22-2-1022-47580,13:32:00,13:32:15,14,69601
22-1-1-49320,13:42:00,13:42:15,1,69601
22-1-1-49320,13:44:00,13:44:15,2,69701
22-1-1-49320,13:45:00,13:45:15,3,69501
22-1-1-49320,13:47:00,13:48:15,4,126101
22-1-1-49320,13:49:00,13:49:15,5,125601
22-1-1-49320,13:50:00,13:50:15,6,125201
22-1-1-49320,13:51:00,13:51:15,7,427501
22-1-1-49320,13:52:00,13:52:15,8,427404
22-1-1-49320,13:53:00,13:53:15,9,427202
22-1-1-49320,13:55:00,13:55:15,10,679421
22-1-1-49320,13:56:00,13:56:15,11,679101
22-1-1-49320,13:58:00,13:58:15,12,119321
22-1-1-49320,14:00:00,14:00:15,13,116821
22-1-1-49320,14:01:00,14:01:15,14,114601
22-2-1022-54780,15:13:00,15:13:15,1,114602
22-2-1022-54780,15:14:00,15:14:15,2,116822
22-2-1022-54780,15:15:00,15:16:15,3,119322
22-2-1022-54780,15:17:00,15:17:15,4,679102
22-2-1022-54780,15:18:00,15:18:15,5,679422
22-2-1022-54780,15:20:00,15:20:15,6,427201
22-2-1022-54780,15:21:00,15:21:15,7,427403
22-2-1022-54780,15:23:00,15:23:15,8,427502
22-2-1022-54780,15:24:00,15:24:15,9,125202
22-2-1022-54780,15:25:00,15:25:15,10,125602
22-2-1022-54780,15:27:00,15:27:15,11,126102
22-2-1022-54780,15:29:00,15:29:15,12,69522
22-2-1022-54780,15:30:00,15:30:15,13,69702
22-2-1022-54780,15:32:00,15:32:15,14,69601
22-1-1-56520,15:42:00,15:42:15,1,69601
22-1-1-56520,15:44:00,15:44:15,2,69701
22-1-1-56520,15:45:00,15:45:15,3,69501
22-1-1-56520,15:47:00,15:48:15,4,126101
22-1-1-56520,15:49:00,15:49:15,5,125601
22-1-1-56520,15:50:00,15:50:15,6,125201
22-1-1-56520,15:51:00,15:51:15,7,427501
22-1-1-56520,15:52:00,15:52:15,8,427404
22-1-1-56520,15:53:00,15:53:15,9,427202
22-1-1-56520,15:55:00,15:55:15,10,679421
22-1-1-56520,15:56:00,15:56:15,11,679101
22-1-1-56520,15:58:00,15:58:15,12,119321
22-1-1-56520,16:00:00,16:00:15,13,116821
22-1-1-56520,16:01:00,16:01:15,14,114601
22-2-1022-61980,17:13:00,17:13:15,1,114602
22-2-1022-61980,17:14:00,17:14:15,2,116822
22-2-1022-61980,17:15:00,17:16:15,3,119322
22-2-1022-61980,17:17:00,17:17:15,4,679102
22-2-1022-61980,17:18:00,17:18:15,5,679422
22-2-1022-61980,17:20:00,17:20:15,6,427201
22-2-1022-61980,17:21:00,17:21:15,7,427403
22-2-1022-61980,17:23:00,17:23:15,8,427502
22-2-1022-61980,17:24:00,17:24:15,9,125202
22-2-1022-61980,17:25:00,17:25:15,10,125602
22-2-1022-61980,17:27:00,17:27:15,11,126102
22-2-1022-61980,17:29:00,17:29:15,12,69522
22-2-1022-61980,17:30:00,17:30:15,13,69702
22-2-1022-61980,17:32:00,17:32:15,14,69601
22-1-1-63720,17:42:00,17:42:15,1,69601
22-1-1-63720,17:44:00,17:44:15,2,69701
22-1-1-63720,17:45:00,17:45:15,3,69501
22-1-1-63720,17:47:00,17:48:15,4,126101
22-1-1-63720,17:49:00,17:49:15,5,125601
22-1-1-63720,17:50:00,17:50:15,6,125201
22-1-1-63720,17:51:00,17:51:15,7,427501
22-1-1-63720,17:52:00,17:52:15,8,427404
22-1-1-63720,17:53:00,17:53:15,9,427202
