route_id,trip_id,service_id,trip_short_name,start_time,end_time
5-48-5,5-48-1-14160,295-296-297-298-299-302-303-304-305-309,5,03:56:00,04:05:15
5-101-5,5-101-51-15000,295-296-297-298-299-309,5,04:10:00,06:15:05
5-1-5,5-1-51-22500,295-296-297-298-299-309,5,06:15:00,08:35:05
5-1-5,5-1-51-30900,295-296-297-298-299-309,5,08:35:00,10:55:05
5-1-5,5-1-51-39300,295-296-297-298-299-300-309,5,10:55:00,13:15:05
5-1-5,5-1-51-47700,295-296-297-298-299-300-309,5,13:15:00,15:35:05
5-1-5,5-1-51-56100,295-296-297-298-299-300-309,5,15:35:00,17:55:05
5-1-5,5-1-51-64500,295-296-297-298-299-300-309,5,17:55:00,20:15:05
5-23-5,5-23-3005-72900,295-296-297-298-299-301-309,5,20:15:00,20:52:15
5-82-5,5-82-5-75900,295-296-297-298-299-300-301-309,5,21:05:00,21:43:05
5-20-5,5-20-5-78180,295-296-297-298-299-300-309,5,21:43:00,23:06:15
5-83-5,5-83-2005-85500,295-296-297-298-299-300-309,5,23:45:00,01:15:05
5-27-5,5-27-5-90900,295-296-297-298-301-302-303-304-308-309,5,25:15:00,01:36:15
5-51-5,5-51-5-14160,295-296-297-298-299-309,5,03:56:00,04:12:15
5-86-5,5-86-6005-15300,295-296-297-298-299-309,5,04:15:00,04:40:15
5-101-5,5-101-51-17400,295-296-297-298-299-309,5,04:50:00,06:55:05
5-1-5,5-1-51-24900,295-296-297-298-299-309,5,06:55:00,09:15:05
5-1-5,5-1-51-33300,295-296-297-298-299-309,5,09:15:00,11:35:05
5-1-5,5-1-51-41700,295-296-297-298-299-300-309,5,11:35:00,13:55:05
5-1-5,5-1-51-50100,295-296-297-298-299-300-309,5,13:55:00,16:15:05
5-3-5,5-3-51-58500,295-296-297-298-299-309,5,16:15:00,18:35:05
5-19-5,5-19-51-66900,295-296-297-298-299-300-309,5,18:35:00,19:51:15
5-48-5,5-48-1-15060,295-296-297-298-299-302-303-304-305-309,5,04:11:00,04:20:15
5-101-5,5-101-51-16200,295-296-297-298-299-309,5,04:30:00,06:35:05
5-1-5,5-1-51-23700,295-296-297-298-299-309,5,06:35:00,08:55:05
5-1-5,5-1-51-32100,295-296-297-298-299-309,5,08:55:00,11:15:05
